Date,Title,URL
2019-05-26,Jyoti Bikas Bank and Sanima General Insurance Company sign bancassurance agreement; 97 branches of national level development bank to provide mileage towards insurance business,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-and-sanima-general-insurance-company-sign-bancassurance-agreement-97-branches-of-national-level-development-bank-to-provide-mileage-towards-insurance-business
2019-05-21,600 plus employees of Jyoti Bikas Bank to appear in quarterly e-examination of NBI; two entities ink MoU to conduct regular knowledge check of bank employees,https://www.sharesansar.com/newsdetail/600-plus-employees-of-jyoti-bikas-bank-to-appear-in-quarterly-e-examination-of-nbi-two-entities-ink-mou-to-conduct-regular-knowledge-check-of-bank-employees
2019-05-21,Jyoti Bikas Bank and Nepal Insurance Company sign bancassurance agreement; 97 branches of national level development bank to provide mileage towards insurance business,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-and-nepal-insurance-company-sign-bancassurance-agreement-97-branches-of-national-level-development-bank-to-provide-mileage-towards-insurance-business
2019-05-17,Which development bank leads this quarter? Find out more about national level development banks,https://www.sharesansar.com/newsdetail/which-development-bank-leads-this-quarter-find-out-more-about-national-level-development-banks
2019-05-12,Many congratulations to Garima Bank CEO Mr. Gobinda Prashad Dhakal; top bosses of Development banks appoints Mr. Dhakal to lead Development Bankers Association Nepal for new term,https://www.sharesansar.com/newsdetail/many-congratulations-to-garima-bank-ceo-mr-gobinda-prashad-dhakal-top-bosses-of-development-banks-appoints-mr-dhakal-to-lead-development-bankers-association-nepal-for-new-term
2019-05-07,Jyoti Bikas Bank earns Rs 28.53 crore till Q3; EPS and PE stands at Rs 12.27 and 11.41 times respectively,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-earns-rs-2853-crore-till-q3-eps-and-pe-stands-at-rs-1227-and-1141-times-respectively
2019-04-17,NEPSE lists more than 5 Million units of shares of Hamro Bikas Bank as Jyoti Bikas Bank; merged institute to have paid up capital of Rs.3.10 Arba,https://www.sharesansar.com/newsdetail/nepse-lists-more-than-5-million-units-of-shares-of-hamro-bikas-bank-as-jyoti-bikas-bank-merged-institute-to-have-paid-up-capital-of-rs310-arba
2019-04-16,Jyoti Bikas Bank launches Jyoti Sambriddhi saving account with Rs 100 as opening balance in line with government policies; to provide 7% interest to depositors,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-launches-jyoti-sambriddhi-saving-account-with-rs-100-as-opening-balance-in-line-with-government-policies-to-provide-7-interest-to-depositors
2019-04-03,Jyoti Bikas Bank and Ajod Insurance sign bancassurance agreement,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-and-ajod-insurance-sign-bancassurance-agreement
2019-03-31,Jyoti Bikas Bank begins joint operation after acquisition of Hamro Bikas Bank; Rs 3.10 arba of paid up capital after acquisition makes JBBL the biggest among all development banks,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-begins-joint-operation-after-acquisition-of-hamro-bikas-bank-rs-310-arba-of-paid-up-capital-after-acquisition-makes-jbbl-the-biggest-among-all-development-banks
