Date,Open,High,Low,Close,Volume
2/17/2019,1112.91,1122.33,1109.24,1109.72,194344992
2/18/2019,1110.81,1111.34,1101.52,1102.51,208487008
2/19/2019,1102.69,1124.96,1102.24,1124.23,202684000
2/20/2019,1125.47,1128.97,1111.88,1112.23,154584000
2/21/2019,1112.23,1114.18,1109.78,1113.07,157692000
2/24/2019,1113.86,1116.43,1101.71,1102.32,193956992
2/25/2019,1102.46,1109.88,1100.13,1109.73,182428992
2/26/2019,1109.99,1110.99,1101.59,1102.56,149262000
2/27/2019,1103.65,1111.04,1103.17,1105.53,204516992
3/3/2019,1105.49,1108.84,1100.16,1100.58,221026000
3/5/2019,1100.49,1104.8,1098.95,1102.64,213340992
3/6/2019,1102.64,1111.87,1100.9,1111.76,211804992
3/7/2019,1111.76,1127.77,1111.7,1127.77,283819008
3/10/2019,1127.77,1129.49,1118.01,1128.71,102317000
3/11/2019,1128.71,1142.99,1125.7,1142.93,382284992
3/12/2019,1148.69,1163.26,1143.99,1163.26,513876992
3/13/2019,1163.98,1166.27,1148.05,1150.1,407008000
3/14/2019,1150.41,1156.88,1142.7,1155.5,263186000
3/17/2019,1155.4,1165.41,1155.4,1161.45,316537984
3/18/2019,1161.73,1164.69,1153.6,1153.98,279032000
3/19/2019,1154,1158.78,1146.9,1147.15,129145000
3/21/2019,1147.51,1150.3,1139.58,1140.6,248614000
3/24/2019,1140.61,1142.14,1131.14,1134.8,211912992
3/25/2019,1134.73,1139.78,1131.82,1138.67,216906000
3/26/2019,1138.41,1141.19,1136.2,1140.72,190316992
3/27/2019,1140.65,1142.81,1139.86,1142.61,208898000
3/28/2019,1142.54,1144.53,1140.11,1144.53,215416992
3/31/2019,1144.55,1149.81,1139.51,1143.09,241951008
4/1/2019,1143.73,1152.37,1142.06,1149.99,326448992
4/2/2019,1149.69,1164.86,1149.69,1163.47,472344992
4/3/2019,1163.71,1172.4,1158.77,1165.84,524422016
4/4/2019,1165.85,1169.87,1159.9,1165.2,386452000
4/7/2019,1164.94,1182.36,1161.6,1182.36,518228000
4/8/2019,1183.14,1197.88,1179.43,1191.68,864142976
4/9/2019,1191.78,1194.62,1179.75,1181.1,622529984
4/10/2019,1181.72,1188.03,1174.8,1184.61,358990016
4/11/2019,1184.29,1190.03,1180.15,1184.02,387624000
4/15/2019,1184.2,1188.71,1181.97,1188.71,289871008
4/16/2019,1187.7,1212.05,1187.7,1212.05,723990016
4/17/2019,1212.34,1223.42,1210.35,1217.04,803244992
4/18/2019,1216.94,1232.26,1214.95,1232.26,732081024
4/21/2019,1232.53,1264.2,1230.22,1264.2,1036932736
4/22/2019,1264.77,1280.08,1246.97,1256.94,1000550016
4/23/2019,1256.64,1268.32,1248.5,1260.68,561851008
4/24/2019,1265.11,1280.84,1261.69,1279.29,921345984
4/25/2019,1279.29,1297.05,1279.29,1292.12,1335980032
4/28/2019,1293.19,1322.88,1293.19,1314.51,1616089984
4/29/2019,1318.44,1322.95,1299.09,1310.31,1160230016
4/30/2019,1310.42,1316.53,1296.07,1298.6,913017984
5/2/2019,1298.8,1300.43,1282.95,1294.39,573145024
5/5/2019,1294.53,1294.53,1276.73,1277.68,628641024
5/6/2019,1278,1299.41,1270.06,1299.41,619564992
5/7/2019,1298.35,1311.18,1295.73,1301.28,699849024
5/8/2019,1301.39,1304.15,1295.32,1297.6,494902016
5/9/2019,1297.57,1302.62,1290.11,1291.96,605086976
5/12/2019,1291.16,1295.03,1284.17,1295.03,672155008
5/13/2019,1295.99,1301.78,1295.99,1301.34,775121984
5/14/2019,1307.84,1321,1307.84,1315.45,1007529984
5/15/2019,1316.79,1334.06,1316.21,1321,1302630016
5/16/2019,1322.68,1326.69,1313.93,1318.71,881396992
5/19/2019,1319.62,1322.09,1312.81,1316.84,1055840000
5/20/2019,1316.93,1322.85,1305.88,1307.71,1164889984
5/21/2019,1308.4,1317.86,1304.59,1312.14,796716992
5/22/2019,1314.65,1322.47,1314.65,1319.63,918484992
5/23/2019,1321.69,1324.15,1309.12,1314.55,913235968
5/26/2019,1315.97,1317.86,1301.32,1302.61,603897024
5/27/2019,1302.98,1309.9,1298.36,1302.96,499910016
5/28/2019,1304.22,1307.08,1300.77,1305.49,749068992
5/29/2019,1307.3,1315.16,1307.13,1313.88,884201024
5/30/2019,1324.12,1349.38,1317.67,1319.47,1504460032
6/2/2019,1319.23,1319.98,1304.53,1305.68,735995008
6/3/2019,1306.88,1308.63,1291.02,1292.84,664590016
6/4/2019,1292.86,1297.91,1286.37,1289.28,694590976
6/6/2019,1296.42,1296.8,1284.59,1284.59,579563008
6/10/2019,1278.28,1289.54,1274.43,1275.82,553347008
6/11/2019,1276.26,1281.32,1274.82,1275.99,459071008
6/12/2019,1276.09,1277.04,1267.17,1272.49,399464992
6/13/2019,1272.92,1274.83,1264.46,1269.55,418750016
6/16/2019,1269.6,1271.27,1256.86,1258.27,472520992
6/17/2019,1259.38,1264.97,1254.52,1260.9,403537984
6/18/2019,1261.05,1263.56,1258.36,1258.66,359411008
6/19/2019,1258.26,1262.12,1256.72,1258.46,304190016
6/20/2019,1258.9,1266.33,1257.94,1264.36,375315008
6/23/2019,1264.76,1265,1253.43,1254.35,481860000
6/24/2019,1254.68,1260.1,1253.02,1260.1,481492992
6/25/2019,1260.23,1264.52,1259.36,1261.07,364772992
6/26/2019,1261.1,1261.49,1255.46,1258.29,570123008
6/27/2019,1259.16,1260.43,1256.63,1257.15,627908992
6/30/2019,1258.32,1258.8,1244.81,1244.89,645099008
7/1/2019,1245.58,1245.69,1237.43,1241.61,364344000
7/2/2019,1242.83,1253.06,1238.77,1253.06,429476992
7/3/2019,1253.52,1270.04,1249.5,1268.68,550248000
7/4/2019,1269.48,1272.79,1258.87,1260.47,670169984
7/7/2019,1260.95,1263.82,1255.01,1256.04,540529024
7/8/2019,1256.15,1257.57,1245.62,1247.35,591054016
7/9/2019,1247.41,1252.2,1244.37,1250.27,468264000
7/10/2019,1250.44,1251.9,1246.16,1249.15,573446976
7/11/2019,1249.46,1251.09,1247.63,1248.53,460036992
7/14/2019,1248.54,1253.09,1248.54,1249.49,285215008
7/15/2019,1250.1,1254.7,1249.17,1254.56,430526016
7/16/2019,1285.49,1285.5,1256.47,1259.01,347288992
7/17/2019,1258.95,1274.86,1258.81,1274.86,426743008
7/18/2019,1275.71,1283.63,1272.49,1272.49,411368992
7/21/2019,1275.5,1276.4,1265.61,1268.74,298156992
7/22/2019,1268.77,1272.39,1267.92,1271.23,316643008
7/23/2019,1271.25,1277.17,1271.22,1277.17,368980992
7/24/2019,1277.48,1285,1277.09,1284.07,443480992
7/25/2019,1284.42,1284.42,1269.35,1269.92,550531968
7/28/2019,1269.91,1270.46,1250.19,1252.8,492673984
7/29/2019,1252.77,1259.69,1252.77,1255.98,350812992
7/30/2019,1256.02,1262.17,1256.02,1259.37,294304992
7/31/2019,1259.54,1267.73,1257.91,1265.57,370001984
8/1/2019,1259.54,1267.73,1257.91,1263.84,590588032
8/4/2019,1264.29,1266.37,1258.28,1259.64,474152000
8/5/2019,1260.3,1261.64,1253.51,1255.09,443204992
8/6/2019,1255.75,1255.75,1243.74,1245.73,450755008
8/7/2019,1245.2,1249.99,1239.55,1248.48,368646016
8/8/2019,1248.92,1248.92,1237.44,1237.74,440278016
8/11/2019,1238.39,1238.39,1229.69,1233.71,311756992
8/12/2019,1234.68,1236.9,1232.11,1233.85,314228992
8/13/2019,1234.59,1236.48,1229.07,1231.07,481630016
8/14/2019,1230.98,1231.49,1224.43,1225.9,257284992
8/15/2019,1225.12,1226.07,1221.8,1224.03,424323008
8/18/2019,1223.51,1226.57,1214.34,1214.83,329528000
8/19/2019,1214.96,1229.51,1210.8,1222.06,389624992
8/20/2019,1222.05,1222.87,1212.1,1213.63,272508992
8/21/2019,1213.97,1216.31,1209.78,1214.05,292641728
8/22/2019,1214.37,1220.91,1212.25,1213.06,261670208
8/25/2019,1212.76,1213.24,1201.71,1209.62,350269504
8/26/2019,1209.71,1210.24,1199.32,1203.13,380596576
8/27/2019,1203.42,1212.31,1203.4,1208,244668208
8/28/2019,1209.7,1213.46,1197.16,1197.75,371022592
8/29/2019,1198.49,1201.23,1194.1,1196.41,277359648
9/1/2019,1196.61,1198.51,1184.06,1184.78,297398016
9/2/2019,1184.94,1190.89,1167.82,1170.34,407569728
9/3/2019,1170.88,1190.91,1156.72,1190.9,510552032
9/4/2019,1192.22,1198.48,1183.4,1194.77,436444672
9/5/2019,1195.89,1196.93,1189.06,1191.07,290177344
9/8/2019,1192.07,1192.33,1176.41,1178.46,305310720
9/9/2019,1178.48,1180.28,1166.09,1168.91,299200768
9/10/2019,1168.92,1172.82,1161.2,1166.67,237959648
9/11/2019,1166.68,1168.06,1161.96,1163.21,341745152
9/12/2019,1163.71,1164.09,1156.37,1157.88,376184480
9/15/2019,1157.68,1160.55,1139.27,1140.01,288099904
9/16/2019,1140.5,1140.56,1122.02,1123.83,343918208
9/17/2019,1127.26,1152.51,1127.26,1150.74,383957440
9/18/2019,1150.66,1173.14,1150.66,1172.15,455311872
9/19/2019,1173.44,1178.28,1155.3,1155.3,399930880
9/22/2019,1155.3,1157.8,1135.19,1139.25,226950240
9/23/2019,1139.92,1147.86,1137.88,1140.98,177279040
9/24/2019,1140.99,1141.63,1132.73,1134.56,218278448
9/25/2019,1134.56,1135.26,1130.88,1131.53,166921792
9/26/2019,1131.52,1133.81,1128.61,1129.8,212541344
9/29/2019,1129.82,1131.87,1123.66,1125.14,241498560
9/30/2019,1125.5,1135.57,1121.1,1135.56,168828928
10/1/2019,1135.42,1146.12,1134.82,1145.69,311488640
10/2/2019,1145.69,1149.71,1139.93,1140.71,203287232
10/3/2019,1142.44,1149.4,1138.59,1149.4,176633520
10/10/2019,1149.03,1151.82,1148.14,1149.01,63845412
10/14/2019,1149.01,1151.53,1135.05,1136.96,218635696
10/15/2019,1138.38,1142.05,1135.86,1142.04,222452080
10/16/2019,1142.05,1143.02,1136,1137.03,196618960
10/17/2019,1137.04,1140.39,1136,1137.75,182994912
10/20/2019,1137.69,1138.99,1132.58,1133.71,113359952
10/21/2019,1133.74,1135.84,1130.15,1132.4,164349536
10/22/2019,1132.45,1134.8,1130.21,1134.79,165296000
10/23/2019,1135.4,1142.83,1135.4,1142.6,163757840
10/24/2019,1142.41,1150.43,1141.4,1149.34,327632256
10/31/2019,1149.36,1151.49,1143.07,1146.17,254312464
11/3/2019,1145.83,1146.88,1136.39,1139.29,175544480
11/4/2019,1139.57,1141.13,1135.96,1140.26,191854336
11/5/2019,1140.21,1141.86,1138.66,1139.45,284472512
11/6/2019,1139.49,1141.08,1136.74,1138.02,206253840
11/7/2019,1138.27,1139.36,1131.33,1131.97,374150560
11/10/2019,1132.47,1135.91,1129.9,1131.8,293149056
11/11/2019,1132.7,1147.75,1132.7,1145.57,549998272
11/12/2019,1145.92,1147.07,1138.57,1139.96,379849440
11/13/2019,1140.65,1140.65,1133.5,1135.16,275427872
11/14/2019,1135.16,1139.42,1133.68,1135.95,228357488
11/17/2019,1135.73,1137.26,1129.15,1131.36,355159776
11/18/2019,1131.41,1133.44,1128,1131.12,356861856
11/19/2019,1131.13,1132.41,1127.91,1129.99,220751008
11/20/2019,1130.02,1139.75,1127.63,1128.34,303724192
11/21/2019,1128.35,1128.69,1118.1,1120.6,297797056
11/24/2019,1120.62,1121.94,1108.77,1110.08,280534400
11/25/2019,1110.12,1112.15,1102.47,1110.08,243771008
11/26/2019,1110.08,1112.15,1107.24,1109.17,198036000
11/27/2019,1109.1,1117.46,1108.02,1117.46,206411008
11/28/2019,1117.65,1119.63,1112.79,1112.79,234391008
12/1/2019,1112.8,1114.32,1109.98,1112.86,201232992
12/2/2019,1112.87,1113.74,1110.98,1111.99,204479008
12/3/2019,1112.07,1117.83,1111.19,1115.75,216140992
12/4/2019,1116.13,1128.01,1116.13,1124.47,302535008
12/5/2019,1124.47,1134.94,1124.44,1131.92,342024992
12/8/2019,1131.92,1135.38,1126.81,1135.38,245004992
12/9/2019,1135.37,1155.06,1132.88,1148.89,460223008
12/10/2019,1149.1,1158.12,1147.44,1151.37,485616992
12/11/2019,1150.84,1166.16,1150.84,1161.48,477771008
12/12/2019,1162.26,1175.31,1159.91,1172.65,675172992
12/15/2019,1172.45,1182.01,1159.79,1167.87,642518016
12/16/2019,1167.82,1170.57,1153.24,1154.12,391392992
12/17/2019,1154.18,1158.36,1150.66,1155.37,279244128
12/18/2019,1155.33,1158.15,1150.14,1152.07,294709856
12/19/2019,1152.07,1154.28,1148.36,1149.64,419088128
12/22/2019,1149.62,1151.31,1147.67,1150.81,374466464
12/23/2019,1150.93,1168.79,1150.93,1168.58,595764544
12/24/2019,1169.33,1176.7,1164.57,1166.21,721642944
12/25/2019,1166.56,1173.15,1165.78,1168.03,538340800
12/26/2019,1167.74,1170.45,1165.94,1167.41,588677888
